player_name,player_age,player_nats,from_team,from_competition,to_team,to_competition,market_value,transfer_date,transfer_fee
Samir Memisevic,26,Bosnia-Herzegovina,FC Groningen,Eredivisie,HB CFFC,Super League,€1.60m,"Feb 28, 2020",€1.50m
Sam Larsson,27,Sweden,Feyenoord,Eredivisie,DL Pro,Super League,€4.00m,"Feb 28, 2020",€5.00m
Siem de Jong,31,Netherlands,Ajax,Eredivisie,Cincinnati,MLS,€1.60m,"Feb 20, 2020",Free transfer
Áron Dobos,19,Hungary,Fortuna Sittard,Eredivisie,ETO FC Győr ,NB II.,€150k,"Feb 14, 2020",Loan
Lamine Sané,33,"Senegal,France",Without Club,None,FC Utrecht,Eredivisie,€475k,"Feb 8, 2020",-
Andreas Skovgaard,23,Denmark,Heerenveen,Eredivisie,Örebro SK,Allsvenskan,€325k,"Feb 5, 2020",Loan
Darryl Lachman,30,"Curacao,Netherlands",PEC Zwolle,Eredivisie,Hapoel Raanana,Ligat ha'Al,€550k,"Feb 5, 2020",Free transfer
Navarone Foor,28,"Netherlands,Indonesia",Vitesse,Eredivisie,Ittihad Kalba,UAE Gulf League,€1.00m,"Feb 3, 2020",€500k
Mark Duffy,34,England,Sheffield Utd.,Premier League,ADO Den Haag,Eredivisie,€400k,"Jan 31, 2020",Loan
Victor van den Bogert,20,Netherlands,Willem II,Eredivisie,De Graafschap,Keuken Kampioen Divisie,€100k,"Jan 31, 2020",Loan
Daishawn Redan,19,"Netherlands,Suriname",Hertha BSC,Bundesliga,FC Groningen,Eredivisie,€3.60m,"Jan 31, 2020",Loan
Emil Frederiksen,19,Denmark,Heerenveen,Eredivisie,SönderjyskE,Superligaen,€150k,"Jan 31, 2020",Loan
Lazaros Rota,22,"Greece,Albania",Michalovce,Fortuna Liga,Fortuna Sittard,Eredivisie,€300k,"Jan 31, 2020",?
Roy Gelmi,25,"Switzerland,Netherlands",FC Thun,Super League,VVV-Venlo,Eredivisie,€600k,"Jan 31, 2020",Loan
Karim Coulibaly,26,"France,Senegal",Willem II,Eredivisie,SC Toulon,Championnat National,€150k,"Jan 31, 2020",Free transfer
Donny Gorter,31,"Netherlands,Switzerland",ADO Den Haag,Eredivisie,Without Club,None,€200k,"Jan 31, 2020",-
Pontus Dahlberg,21,Sweden,Watford,Premier League,FC Emmen,Eredivisie,€900k,"Jan 31, 2020",Loan
Gastón Pereiro,24,Uruguay,PSV Eindhoven,Eredivisie,Cagliari Calcio,Serie A,€8.00m,"Jan 31, 2020",€2.00m
Nikolai Frederiksen,19,Denmark,Juventus U23,Serie C - A,Fortuna Sittard,Eredivisie,€250k,"Jan 31, 2020",Loan
Jeroen Houwen,24,Netherlands,Vitesse,Eredivisie,Go Ahead Eagles,Keuken Kampioen Divisie,€325k,"Jan 31, 2020",Loan
Leon Bergsma,23,Netherlands,AZ Alkmaar,Eredivisie,FC Den Bosch,Keuken Kampioen Divisie,€300k,"Jan 31, 2020",Loan
Joshua Brenet,26,"Netherlands,Curacao",TSG Hoffenheim,Bundesliga,Vitesse,Eredivisie,€2.40m,"Jan 31, 2020",Loan
Giacomo Quagliata,20,Italy,Pro Vercelli,Serie C - A,Heracles Almelo,Eredivisie,€125k,"Jan 31, 2020",?
Filip Möller Delaveris,19,Norway,Odds BK,Eliteserien,Vitesse,Eredivisie,€300k,"Jan 31, 2020",?
Delano Burgzorg,21,"Netherlands,Suriname",Spezia Calcio,Serie B,Heracles Almelo,Eredivisie,€525k,"Jan 31, 2020",Loan
Milan van Ewijk,19,Netherlands,ADO Den Haag,Eredivisie,SC Cambuur,Keuken Kampioen Divisie,€400k,"Jan 31, 2020",Loan
Kevin Vermeulen,29,Netherlands,RKC Waalwijk,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,€250k,"Jan 31, 2020",Free transfer
Omar Bogle,27,"England,Ghana",Cardiff,Championship,ADO Den Haag,Eredivisie,€600k,"Jan 31, 2020",Loan
Jannik Pohl,24,Denmark,FC Groningen,Eredivisie,AC Horsens,Superligaen,€300k,"Jan 31, 2020",Free transfer
Ricardo Rodríguez,27,"Switzerland,Chile",AC Milan,Serie A,PSV Eindhoven,Eredivisie,€5.50m,"Jan 30, 2020",Loan fee:€1.00m
Thomas Bruns,28,Netherlands,Vitesse,Eredivisie,VVV-Venlo,Eredivisie,€650k,"Jan 30, 2020",Loan
Cian Harries,23,Wales,Fortuna Sittard,Eredivisie,Swansea,Championship,€250k,"Jan 30, 2020",End of loan
Kaj Sierhuis,21,Netherlands,FC Groningen,Eredivisie,Ajax U21,Keuken Kampioen Divisie,€2.70m,"Jan 30, 2020",End of loan
Thom Haye,25,"Netherlands,Indonesia",ADO Den Haag,Eredivisie,NAC Breda,Keuken Kampioen Divisie,€400k,"Jan 29, 2020",Loan
Simon Makienok,29,Denmark,FC Utrecht,Eredivisie,Dynamo Dresden,2. Bundesliga,€550k,"Jan 29, 2020",€100k
David Jensen,28,Denmark,FC Utrecht,Eredivisie,NY Red Bulls,MLS,€800k,"Jan 29, 2020",?
Oguzhan Özyakup,27,"Turkey,Netherlands",Besiktas,Süper Lig,Feyenoord,Eredivisie,€1.70m,"Jan 29, 2020",Loan
Steven Bergwijn,22,"Netherlands,Suriname",PSV Eindhoven,Eredivisie,Spurs,Premier League,€28.00m,"Jan 29, 2020",€30.00m
Thomas Bruns,28,Netherlands,PEC Zwolle,Eredivisie,Vitesse,Eredivisie,€650k,"Jan 29, 2020",End of loan
Elia Soriano,30,"Italy,Germany",VVV-Venlo,Eredivisie,Hapoel Raanana,Ligat ha'Al,€400k,"Jan 28, 2020",Free transfer
Kerim Frei,26,"Turkey,Switzerland",Basaksehir,Süper Lig,FC Emmen,Eredivisie,€525k,"Jan 27, 2020",Loan
Samuel Scheimann,32,"Israel,Netherlands",VVV-Venlo,Eredivisie,Kiryat Shmona,Ligat ha'Al,€300k,"Jan 27, 2020",Free transfer
Robert Bozenik,20,Slovakia,MSK Zilina,Fortuna Liga,Feyenoord,Eredivisie,€3.20m,"Jan 27, 2020",€4.00m
Iliass Bel Hassani,27,"Netherlands,Morocco",PEC Zwolle,Eredivisie,Al Wakrah,Stars League,€675k,"Jan 27, 2020",?
Hassane Bandé,21,Burkina Faso,Ajax,Eredivisie,FC Thun,Super League,€2.70m,"Jan 27, 2020",Loan
Jeffry Fortes,31,"Cape Verde,Netherlands",Excelsior,Keuken Kampioen Divisie,Sparta R.,Eredivisie,€450k,"Jan 26, 2020",?
Görkem Can,19,"Turkey,Germany",Schalke 04 II,Regionalliga West,FC Groningen,Eredivisie,€50k,"Jan 25, 2020",?
Sondre Tronstad,24,Norway,Haugesund,Eliteserien,Vitesse,Eredivisie,€400k,"Jan 24, 2020",€600k
Luciano Slagveer,26,"Netherlands,Suriname",FC Emmen,Eredivisie,Puskás AFC,NB I.,€400k,"Jan 23, 2020",€50k
Jordan Spence,29,England,Without Club,None,ADO Den Haag,Eredivisie,€400k,"Jan 22, 2020",-
Lennart Czyborra,20,Germany,Heracles Almelo,Eredivisie,Atalanta,Serie A,€3.20m,"Jan 22, 2020",€4.50m
Yassin Ayoub,26,"Morocco,Netherlands",Feyenoord,Eredivisie,Panathinaikos,Super League 1,€2.00m,"Jan 22, 2020",Free transfer
Emil Hansson,21,"Sweden,Norway",Hannover 96,2. Bundesliga,RKC Waalwijk,Eredivisie,€800k,"Jan 22, 2020",Loan
Amir Absalem,22,"Netherlands,Morocco",FC Groningen,Eredivisie,Almere City,Keuken Kampioen Divisie,€325k,"Jan 21, 2020",Loan
Luka Adzic,21,Serbia,RSC Anderlecht,Jupiler Pro League,FC Emmen,Eredivisie,€900k,"Jan 21, 2020",Loan
Rico Strieder,27,Germany,FC Utrecht,Eredivisie,PEC Zwolle,Eredivisie,€800k,"Jan 21, 2020",Loan
Görkem Saglam,22,"Germany,Turkey",VfL Bochum,2. Bundesliga,Willem II,Eredivisie,€300k,"Jan 20, 2020",Free transfer
Richard van der Venne,27,Netherlands,Go Ahead Eagles,Keuken Kampioen Divisie,RKC Waalwijk,Eredivisie,€325k,"Jan 20, 2020",€100k
Kristoffer Peterson,25,Sweden,Swansea,Championship,FC Utrecht,Eredivisie,€1.60m,"Jan 20, 2020",Loan
Damian van Bruggen,24,Netherlands,VVV-Venlo,Eredivisie,Inter Zapresic,1.HNL,€325k,"Jan 18, 2020",?
Noa Lang,20,"Netherlands,Suriname",Ajax,Eredivisie,FC Twente,Eredivisie,€2.70m,"Jan 18, 2020",Loan
Nemanja Mihajlovic,24,Serbia,Heerenveen,Eredivisie,Arka Gdynia,Ekstraklasa,€525k,"Jan 17, 2020",€450k
Stefan Velkov,23,Bulgaria,FC Den Bosch,Keuken Kampioen Divisie,RKC Waalwijk,Eredivisie,€325k,"Jan 17, 2020",Loan
Tudor Baluta,21,Romania,Brighton,Premier League,ADO Den Haag,Eredivisie,€3.60m,"Jan 17, 2020",Loan
Jamal Blackman,26,"England,Jamaica",Vitesse,Eredivisie,Chelsea,Premier League,€400k,"Jan 16, 2020",End of loan
Kenneth Vermeer,34,"Netherlands,Suriname",Feyenoord,Eredivisie,Los Angeles FC,MLS,€1.60m,"Jan 15, 2020",?
Achraf El Bouchataoui,20,"Netherlands,Morocco",Feyenoord,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,€250k,"Jan 15, 2020",Loan
Lars Veldwijk,28,"South Africa,Netherlands",Sparta R.,Eredivisie,Jeonbuk Motors,K League 1,€550k,"Jan 15, 2020",€300k
Abdallah Aberkane,19,"Netherlands,Morocco",Sparta R.,Eredivisie,Excelsior,Keuken Kampioen Divisie,€50k,"Jan 14, 2020",Free transfer
Robin Polley,21,"Ghana,Netherlands",ADO Den Haag,Eredivisie,FC Dordrecht,Keuken Kampioen Divisie,€50k,"Jan 14, 2020",Loan
Jeroen Zoet,29,Netherlands,PSV Eindhoven,Eredivisie,FC Utrecht,Eredivisie,€5.50m,"Jan 14, 2020",Loan
Charlison Benschop,30,"Curacao,Netherlands",FC Groningen,Eredivisie,Apol. Limassol,First Division,€400k,"Jan 13, 2020",?
Mick van Buren,27,Netherlands,Slavia Prague,Fortuna Liga,ADO Den Haag,Eredivisie,€600k,"Jan 13, 2020",Loan
Laurens De Bock,27,Belgium,Leeds,Championship,ADO Den Haag,Eredivisie,€550k,"Jan 13, 2020",Loan
Stijn Spierings,24,Netherlands,RKC Waalwijk,Eredivisie,Levski Sofia,efbet Liga,€550k,"Jan 13, 2020",€500k
George Thomas,23,"Wales,England",Leicester,Premier League,ADO Den Haag,Eredivisie,€250k,"Jan 13, 2020",Loan
Fred Friday,24,Nigeria,AZ Alkmaar,Eredivisie,Without Club,None,€300k,"Jan 13, 2020",-
Ryan Babel,33,"Netherlands,Suriname",Galatasaray,Süper Lig,Ajax,Eredivisie,€2.00m,"Jan 11, 2020",Loan fee:€1.55m
Luis Manuel Orejuela,24,Colombia,Ajax,Eredivisie,Cruzeiro,Série B,€1.20m,"Jan 11, 2020",€1.30m
