,player_name,player_age,from_team,from_competition,to_team,to_competition,transfer_date,first_nationality,second_nationality,market_value_number,transfer_fee_number,transfer_fee_other
0,Samir Memisevic,26,FC Groningen,Eredivisie,HB CFFC,Super League,2/28/2020,Bosnia-Herzegovina,,1600,1500,
1,Sam Larsson,27,Feyenoord,Eredivisie,DL Pro,Super League,2/28/2020,Sweden,,4000,5000,
2,Siem de Jong,31,Ajax,Eredivisie,Cincinnati,MLS,2/20/2020,Netherlands,,1600,0,Free transfer
3,Áron Dobos,19,Fortuna Sittard,Eredivisie,ETO FC Győr ,NB II.,2/14/2020,Hungary,,150,0,Loan
4,Lamine Sané,33,Without Club,None,FC Utrecht,Eredivisie,2/8/2020,Senegal,France,475,0,-
5,Andreas Skovgaard,23,Heerenveen,Eredivisie,Örebro SK,Allsvenskan,2/5/2020,Denmark,,325,0,Loan
6,Darryl Lachman,30,PEC Zwolle,Eredivisie,Hapoel Raanana,Ligat ha'Al,2/5/2020,Curacao,Netherlands,550,0,Free transfer
7,Navarone Foor,28,Vitesse,Eredivisie,Ittihad Kalba,UAE Gulf League,2/3/2020,Netherlands,Indonesia,1000,500,
8,Mark Duffy,34,Sheffield Utd.,Premier League,ADO Den Haag,Eredivisie,1/31/2020,England,,400,0,Loan
9,Victor van den Bogert,20,Willem II,Eredivisie,De Graafschap,Keuken Kampioen Divisie,1/31/2020,Netherlands,,100,0,Loan
10,Daishawn Redan,19,Hertha BSC,Bundesliga,FC Groningen,Eredivisie,1/31/2020,Netherlands,Suriname,3600,0,Loan
11,Emil Frederiksen,19,Heerenveen,Eredivisie,SönderjyskE,Superligaen,1/31/2020,Denmark,,150,0,Loan
12,Lazaros Rota,22,Michalovce,Fortuna Liga,Fortuna Sittard,Eredivisie,1/31/2020,Greece,Albania,300,0,?
13,Roy Gelmi,25,FC Thun,Super League,VVV-Venlo,Eredivisie,1/31/2020,Switzerland,Netherlands,600,0,Loan
14,Karim Coulibaly,26,Willem II,Eredivisie,SC Toulon,Championnat National,1/31/2020,France,Senegal,150,0,Free transfer
15,Donny Gorter,31,ADO Den Haag,Eredivisie,Without Club,None,1/31/2020,Netherlands,Switzerland,200,0,-
16,Pontus Dahlberg,21,Watford,Premier League,FC Emmen,Eredivisie,1/31/2020,Sweden,,900,0,Loan
17,Gastón Pereiro,24,PSV Eindhoven,Eredivisie,Cagliari Calcio,Serie A,1/31/2020,Uruguay,,8000,2000,
18,Nikolai Frederiksen,19,Juventus U23,Serie C - A,Fortuna Sittard,Eredivisie,1/31/2020,Denmark,,250,0,Loan
19,Jeroen Houwen,24,Vitesse,Eredivisie,Go Ahead Eagles,Keuken Kampioen Divisie,1/31/2020,Netherlands,,325,0,Loan
20,Leon Bergsma,23,AZ Alkmaar,Eredivisie,FC Den Bosch,Keuken Kampioen Divisie,1/31/2020,Netherlands,,300,0,Loan
21,Joshua Brenet,26,TSG Hoffenheim,Bundesliga,Vitesse,Eredivisie,1/31/2020,Netherlands,Curacao,2400,0,Loan
22,Giacomo Quagliata,20,Pro Vercelli,Serie C - A,Heracles Almelo,Eredivisie,1/31/2020,Italy,,125,0,?
23,Filip Möller Delaveris,19,Odds BK,Eliteserien,Vitesse,Eredivisie,1/31/2020,Norway,,300,0,?
24,Delano Burgzorg,21,Spezia Calcio,Serie B,Heracles Almelo,Eredivisie,1/31/2020,Netherlands,Suriname,525,0,Loan
