player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season
Mike Havekotte,Goalkeeper,22,Netherlands,ADO Den Haag,Excelsior,€75k,Free transfer,2018/2019
Dion Malone,Defensive Midfield,29,Netherlands,ADO Den Haag,FK Qabala,€700k,Free transfer,2018/2019
Tomas Necid,Centre-Forward,29,Czech Republic,ADO Den Haag,Bursaspor,€1.75m,Free transfer,2018/2019
Yuning Zhang,Centre-Forward,21,China,ADO Den Haag,West Brom,€1.50m,Loan,2018/2019
Giovanni Troupée,Right-Back,20,Netherlands,ADO Den Haag,FC Utrecht,€1.50m,Loan,2018/2019
Mats van Kins,Central Midfield,19,Netherlands,ADO Den Haag,ADO U21,€100k,-,2018/2019
Shaquille Pinas,Centre-Back,20,Netherlands,ADO Den Haag,ADO U21,€200k,-,2018/2019
Robin Polley,Right-Back,19,Ghana,ADO Den Haag,ADO U21,-,-,2018/2019
Thomas Meißner,Centre-Back,27,Germany,ADO Den Haag,Willem II,€500k,"End of loanJun 30, 2018",2018/2019
Björn Johnsen,Centre-Forward,26,Norway,AZ Alkmaar,ADO Den Haag,€3.50m,€2.30m,2018/2019
Albert Gudmundsson,Right Winger,21,Iceland,AZ Alkmaar,PSV Eindhoven,€1.50m,€1.80m,2018/2019
Marko Vejinović,Defensive Midfield,28,Netherlands,AZ Alkmaar,Feyenoord,€2.50m,€1.25m,2018/2019
Henri Weigelt,Centre-Back,20,Germany,AZ Alkmaar,Arm. Bielefeld,€300k,€1.20m,2018/2019
Rody de Boer,Goalkeeper,20,Netherlands,AZ Alkmaar,Telstar,€400k,€250k,2018/2019
Leon Bergsma,Centre-Back,21,Netherlands,AZ Alkmaar,Ajax U21,€400k,Free transfer,2018/2019
Dorin Rotariu,Right Winger,22,Romania,AZ Alkmaar,Club Brugge,€1.50m,Loan,2018/2019
Mees Hoedemakers,Defensive Midfield,20,Netherlands,AZ Alkmaar,AZ Alkmaar U21,€300k,-,2018/2019
Adam Maher,Central Midfield,25,Netherlands,AZ Alkmaar,Without Club,€1.75m,-,2018/2019
