player_id,player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season
152332,Cor van der Hoeven,Defender,27,Netherlands,Ajax Amsterdam,DWS,-,?,1948/1949
578901,Jan Los,Forward,22,Netherlands,Ajax Amsterdam,De Spartaan,-,?,1948/1949
152440,Gerrit Keizer,Goalkeeper,37,Netherlands,Retired,Ajax Amsterdam,-,-,1948/1949
496975,Karel ter Horst,Forward,29,Netherlands,Retired,Ajax Amsterdam,-,-,1948/1949
151557,Wim Anderiesen Jr.,Centre-Back,18,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1950/1951
207306,Jan van Drecht,Goalkeeper,18,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1950/1951
207307,Ger van Mourik,Defender,18,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1950/1951
153802,Eddy Pieters Graafland,Goalkeeper,16,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1950/1951
240589,Arend van der Wel,Right Winger,17,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1950/1951
152237,Cor van der Hart,Centre-Back,22,Netherlands,LOSC Lille,Ajax Amsterdam,-,?,1950/1951
154137,Joop Stoffelen,Left Winger,29,Netherlands,RC Paris,Ajax Amsterdam,-,?,1950/1951
631109,Jany van der Veen,Midfielder,32,Netherlands,Retired,Ajax Amsterdam,-,-,1950/1951
152045,Herman van de Engel,Midfielder,31,Netherlands,RV & AV Feijenoord,Unknown,-,?,1950/1951
152333,Hans van der Hoek,Defender,17,Netherlands,RV & AV Feijenoord,Feyenoord U19,-,-,1950/1951
154131,Piet Steenbergen,Midfielder,21,Netherlands,AC Le Havre,RV & AV Feijenoord,-,?,1950/1951
151816,Joep Brandes,Forward,30,Netherlands,Nîmes Olympique,RV & AV Feijenoord,-,?,1950/1951
154266,Arie de Vroet,Left Midfield,31,Netherlands,AC Le Havre,RV & AV Feijenoord,-,?,1950/1951
207295,Henk Elzer,Midfielder,18,Netherlands,Ajax Amsterdam,Unknown,-,?,1951/1952
207288,Klaas Bakker,Forward,25,Netherlands,Ajax Amsterdam,De Volewijckers,-,?,1951/1952
152332,Cor van der Hoeven,Defender,30,Netherlands,WV-HEDW,Ajax Amsterdam,-,?,1951/1952
151995,Guus Dräger,Forward,33,Netherlands,Stormvogels,Ajax Amsterdam,-,?,1951/1952
486467,Cor Brom,Forward,21,Netherlands,De Twentse Profs,VVA,-,?,1954/1955
568455,Berry Janse,Right Winger,21,Netherlands,De Twentse Profs,Hermes-DVS,-,?,1954/1955
486467,Cor Brom,Forward,22,Netherlands,BVC Amsterdam,De Twentse Profs,-,?,1954/1955
568455,Berry Janse,Right Winger,22,Netherlands,Tubantia,De Twentse Profs,-,?,1954/1955
153319,Piet Ouderland,Left-Back,22,Netherlands,Ajax Amsterdam,OVVO,-,€1k,1955/1956
152553,Piet van der Kuil,Right Winger,22,Netherlands,Ajax Amsterdam,VSV,-,?,1955/1956
240589,Arend van der Wel,Right Winger,22,Netherlands,SC Enschede,Ajax Amsterdam,-,?,1955/1956
413222,Co Bouwens,Midfielder,30,Netherlands,Unknown,Ajax Amsterdam,-,?,1955/1956
413223,Gerrit Krist,Midfielder,26,Netherlands,Unknown,Ajax Amsterdam,-,?,1955/1956
231191,Karel Theuwis,Centre-Forward,25,Belgium,PSV Eindhoven,De Valk,-,?,1955/1956
240418,Milan Nikolic,Forward,26,Serbia,PSV Eindhoven,Rapid Vienna,-,?,1955/1956
151673,Piet Bakers,Right-Back,32,Netherlands,ADO,PSV Eindhoven,-,?,1955/1956
241244,Berend Scholtens,Midfielder,36,Netherlands,Retired,PSV Eindhoven,-,-,1955/1956
152521,Coy Koopal,Forward,23,Netherlands,Willem II Tilburg,VVV,-,€26k,1956/1957
