,player_id,player_name,player_position,player_age,player_nat,from_team,to_team,season,transfer_direction,international_transfer,from_country,to_country,market_value_number,transfer_fee_number,transfer_fee_other
0,152332,Cor van der Hoeven,Defender,27,Netherlands,DWS,Ajax Amsterdam,1948/1949,in,False,Netherlands,Netherlands,0.0,0,?
1,578901,Jan Los,Forward,22,Netherlands,De Spartaan,Ajax Amsterdam,1948/1949,in,False,Netherlands,Netherlands,0.0,0,?
2,496975,Karel ter Horst,Forward,29,Netherlands,Ajax Amsterdam,Retired,1948/1949,out,True,Netherlands,,0.0,0,-
3,152440,Gerrit Keizer,Goalkeeper,37,Netherlands,Ajax Amsterdam,Retired,1948/1949,out,True,Netherlands,,0.0,0,-
4,151557,Wim Anderiesen Jr.,Centre-Back,18,Netherlands,Ajax U19,Ajax Amsterdam,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
5,207306,Jan van Drecht,Goalkeeper,18,Netherlands,Ajax U19,Ajax Amsterdam,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
6,207307,Ger van Mourik,Defender,18,Netherlands,Ajax U19,Ajax Amsterdam,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
7,153802,Eddy Pieters Graafland,Goalkeeper,16,Netherlands,Ajax U19,Ajax Amsterdam,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
8,240589,Arend van der Wel,Right Winger,17,Netherlands,Ajax U19,Ajax Amsterdam,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
9,152237,Cor van der Hart,Centre-Back,22,Netherlands,Ajax Amsterdam,LOSC Lille,1950/1951,out,True,Netherlands,France,0.0,0,?
10,154137,Joop Stoffelen,Left Winger,29,Netherlands,Ajax Amsterdam,RC Paris,1950/1951,out,True,Netherlands,France,0.0,0,?
11,631109,Jany van der Veen,Midfielder,32,Netherlands,Ajax Amsterdam,Retired,1950/1951,out,True,Netherlands,,0.0,0,-
12,152045,Herman van de Engel,Midfielder,31,Netherlands,Unknown,RV & AV Feijenoord,1950/1951,in,True,,Netherlands,0.0,0,?
13,152333,Hans van der Hoek,Defender,17,Netherlands,Feyenoord U19,RV & AV Feijenoord,1950/1951,in,False,Netherlands,Netherlands,0.0,0,-
14,154131,Piet Steenbergen,Midfielder,21,Netherlands,RV & AV Feijenoord,AC Le Havre,1950/1951,out,True,Netherlands,France,0.0,0,?
