player_id,player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season,transfer_direction,international_transfer,from_country,to_country
152332,Cor van der Hoeven,Defender,27,Netherlands,DWS,Ajax Amsterdam,-,?,1948/1949,in,False,Netherlands,Netherlands
578901,Jan Los,Forward,22,Netherlands,De Spartaan,Ajax Amsterdam,-,?,1948/1949,in,False,Netherlands,Netherlands
496975,Karel ter Horst,Forward,29,Netherlands,Ajax Amsterdam,Retired,-,-,1948/1949,out,True,Netherlands,
152440,Gerrit Keizer,Goalkeeper,37,Netherlands,Ajax Amsterdam,Retired,-,-,1948/1949,out,True,Netherlands,
151557,Wim Anderiesen Jr.,Centre-Back,18,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1950/1951,in,False,Netherlands,Netherlands
207306,Jan van Drecht,Goalkeeper,18,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1950/1951,in,False,Netherlands,Netherlands
207307,Ger van Mourik,Defender,18,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1950/1951,in,False,Netherlands,Netherlands
153802,Eddy Pieters Graafland,Goalkeeper,16,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1950/1951,in,False,Netherlands,Netherlands
240589,Arend van der Wel,Right Winger,17,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1950/1951,in,False,Netherlands,Netherlands
152237,Cor van der Hart,Centre-Back,22,Netherlands,Ajax Amsterdam,LOSC Lille,-,?,1950/1951,out,True,Netherlands,France
154137,Joop Stoffelen,Left Winger,29,Netherlands,Ajax Amsterdam,RC Paris,-,?,1950/1951,out,True,Netherlands,France
631109,Jany van der Veen,Midfielder,32,Netherlands,Ajax Amsterdam,Retired,-,-,1950/1951,out,True,Netherlands,
152045,Herman van de Engel,Midfielder,31,Netherlands,Unknown,RV & AV Feijenoord,-,?,1950/1951,in,True,,Netherlands
152333,Hans van der Hoek,Defender,17,Netherlands,Feyenoord U19,RV & AV Feijenoord,-,-,1950/1951,in,False,Netherlands,Netherlands
154131,Piet Steenbergen,Midfielder,21,Netherlands,RV & AV Feijenoord,AC Le Havre,-,?,1950/1951,out,True,Netherlands,France
151816,Joep Brandes,Forward,30,Netherlands,RV & AV Feijenoord,Nîmes Olympique,-,?,1950/1951,out,True,Netherlands,France
154266,Arie de Vroet,Left Midfield,31,Netherlands,RV & AV Feijenoord,AC Le Havre,-,?,1950/1951,out,True,Netherlands,France
207295,Henk Elzer,Midfielder,18,Netherlands,Unknown,Ajax Amsterdam,-,?,1951/1952,in,True,,Netherlands
207288,Klaas Bakker,Forward,25,Netherlands,De Volewijckers,Ajax Amsterdam,-,?,1951/1952,in,False,Netherlands,Netherlands
151995,Guus Dräger,Forward,33,Netherlands,Ajax Amsterdam,Stormvogels,-,?,1951/1952,out,False,Netherlands,Netherlands
152332,Cor van der Hoeven,Defender,30,Netherlands,Ajax Amsterdam,WV-HEDW,-,?,1951/1952,out,False,Netherlands,Netherlands
486467,Cor Brom,Forward,21,Netherlands,VVA,De Twentse Profs,-,?,1954/1955,in,False,Netherlands,Netherlands
568455,Berry Janse,Right Winger,21,Netherlands,Hermes-DVS,De Twentse Profs,-,?,1954/1955,in,False,Netherlands,Netherlands
486467,Cor Brom,Forward,22,Netherlands,De Twentse Profs,BVC Amsterdam,-,?,1954/1955,out,False,Netherlands,Netherlands
568455,Berry Janse,Right Winger,22,Netherlands,De Twentse Profs,Tubantia,-,?,1954/1955,out,False,Netherlands,Netherlands
153319,Piet Ouderland,Left-Back,22,Netherlands,OVVO,Ajax Amsterdam,-,€1k,1955/1956,in,False,Netherlands,Netherlands
152553,Piet van der Kuil,Right Winger,22,Netherlands,VSV,Ajax Amsterdam,-,?,1955/1956,in,False,Netherlands,Netherlands
240589,Arend van der Wel,Right Winger,22,Netherlands,Ajax Amsterdam,SC Enschede,-,?,1955/1956,out,False,Netherlands,Netherlands
413222,Co Bouwens,Midfielder,30,Netherlands,Ajax Amsterdam,Unknown,-,?,1955/1956,out,True,Netherlands,
413223,Gerrit Krist,Midfielder,26,Netherlands,Ajax Amsterdam,Unknown,-,?,1955/1956,out,True,Netherlands,
231191,Karel Theuwis,Centre-Forward,25,Belgium,De Valk,PSV Eindhoven,-,?,1955/1956,in,False,Netherlands,Netherlands
240418,Milan Nikolic,Forward,26,Serbia,Rapid Vienna,PSV Eindhoven,-,?,1955/1956,in,True,Austria,Netherlands
151673,Piet Bakers,Right-Back,32,Netherlands,PSV Eindhoven,ADO,-,?,1955/1956,out,False,Netherlands,Netherlands
241244,Berend Scholtens,Midfielder,36,Netherlands,PSV Eindhoven,Retired,-,-,1955/1956,out,True,Netherlands,
152521,Coy Koopal,Forward,23,Netherlands,VVV,Willem II Tilburg,-,€26k,1956/1957,in,False,Netherlands,Netherlands
244094,Kurt Zaro,Forward,27,Germany,Triestina,Willem II Tilburg,-,?,1956/1957,in,True,Italy,Netherlands
151840,Sjel de Bruyckere,Centre-Forward,28,Netherlands,Willem II Tilburg,Ringwood City,-,?,1956/1957,out,True,Netherlands,Australia
242208,Leo Snijders,Forward,19,Netherlands,Willem II Tilburg,VVV,-,?,1956/1957,out,False,Netherlands,Netherlands
151784,Tinus Bosselaar,Left Winger,20,Netherlands,Feijenoord,RV & AV Sparta,-,?,1956/1957,in,False,Netherlands,Netherlands
154265,Piet de Vries,Forward,17,Netherlands,Unknown,RV & AV Sparta,-,?,1956/1957,in,True,,Netherlands
239547,Joop Schop,Defender,24,Netherlands,Unknown,RV & AV Sparta,-,?,1956/1957,in,True,,Netherlands
152051,Peet Geel,Left Winger,26,Netherlands,BVC Amsterdam,RV & AV Sparta,-,?,1956/1957,in,False,Netherlands,Netherlands
403274,Wout Zuidgeest,Right Winger,28,Netherlands,RV & AV Sparta,SHS,-,?,1956/1957,out,False,Netherlands,Netherlands
468510,Frans van den Oever,Left-Back,28,Netherlands,RV & AV Sparta,SVV,-,?,1956/1957,out,False,Netherlands,Netherlands
414262,Hans Sonneveld,Midfielder,33,Netherlands,RV & AV Sparta,Retired,-,-,1956/1957,out,True,Netherlands,
207304,Willy Schmidt,Forward,29,Netherlands,Eindhoven,Ajax Amsterdam,-,€18k,1956/1957,in,False,Netherlands,Netherlands
151765,Wim Bleijenberg,Centre-Forward,25,Netherlands,Rigtersbleek,Ajax Amsterdam,-,?,1956/1957,in,False,Netherlands,Netherlands
207300,Albert Post,Midfielder,21,Netherlands,Unknown,Ajax Amsterdam,-,?,1956/1957,in,True,,Netherlands
152407,Sjaak Swart,Right Winger,17,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1956/1957,in,False,Netherlands,Netherlands
187059,Ad Visser,Defender,21,Netherlands,Ajax Amsterdam,DWS,-,?,1956/1957,out,False,Netherlands,Netherlands
621198,Joop Butter,Right-Back,19,Netherlands,Ajax Amsterdam,Go Ahead,-,?,1956/1957,out,False,Netherlands,Netherlands
242241,Loek Feijen,Forward,25,Netherlands,Limburgia,BVC Amsterdam,-,Free transfer,1956/1957,in,False,Netherlands,Netherlands
242243,Cees Kick,Left Winger,19,Netherlands,Unknown,BVC Amsterdam,-,?,1956/1957,in,True,,Netherlands
152051,Peet Geel,Left Winger,26,Netherlands,BVC Amsterdam,Sparta,-,?,1956/1957,out,False,Netherlands,Netherlands
486467,Cor Brom,Forward,23,Netherlands,BVC Amsterdam,Limburgia,-,?,1956/1957,out,False,Netherlands,Netherlands
521588,Bozidar Sencar,Midfielder,29,Croatia,Bayern Munich ,NAC,-,?,1957/1958,in,True,Germany,Netherlands
620346,Adri Pelkmans,Left-Back,21,Netherlands,Unknown,NAC,-,?,1957/1958,in,True,,Netherlands
221356,Bram Lussenburg,Midfielder,35,Netherlands,NAC,Unknown,-,?,1957/1958,out,True,Netherlands,
399493,Henk Matheeuwissen,Left Winger,27,Netherlands,NAC,UVS,-,?,1957/1958,out,False,Netherlands,Netherlands
152046,Piet Fransen,Left Midfield,20,Netherlands,Velocitas,GVAV Groningen,-,€7k,1957/1958,in,False,Netherlands,Netherlands
352051,Bé Kuiper,Central Midfield,22,Netherlands,Velocitas,GVAV Groningen,-,?,1957/1958,in,False,Netherlands,Netherlands
323447,Bram van der Hoeven,Right Midfield,30,Netherlands,Emma,GVAV Groningen,-,?,1957/1958,in,False,Netherlands,Netherlands
239302,Henk Medema Jr.,Midfielder,16,Netherlands,GVAV Groningen,Unknown,-,?,1957/1958,out,True,Netherlands,
239565,Heiko Wolda,Centre-Forward,29,Netherlands,GVAV Groningen,Retired,-,-,1957/1958,out,True,Netherlands,
152529,Piet Kruiver,Centre-Forward,19,Netherlands,KFC,PSV Eindhoven,-,€18k,1957/1958,in,False,Netherlands,Netherlands
188698,Pim Bekkering,Goalkeeper,25,Netherlands,'t Gooi,PSV Eindhoven,-,?,1957/1958,in,False,Netherlands,Netherlands
346534,Hans Verhagen,Forward,20,Netherlands,Quick 1888,PSV Eindhoven,-,?,1957/1958,in,False,Netherlands,Netherlands
240418,Milan Nikolic,Forward,28,Serbia,PSV Eindhoven,Willem II,-,€9k,1957/1958,out,False,Netherlands,Netherlands
154132,Lieuwe Steiger,Goalkeeper,33,Netherlands,PSV Eindhoven,Retired,-,-,1957/1958,out,True,Netherlands,
207379,Donald Feldmann,Left Winger,18,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958,in,True,,Netherlands
207449,Jan Fransz,Centre-Back,20,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958,in,True,,Netherlands
207456,Jan Quakernaat,Defender,22,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958,in,True,,Netherlands
207384,Guus van Ham,Midfielder,22,Netherlands,Zeeburgia,Ajax Amsterdam,-,?,1957/1958,in,False,Netherlands,Netherlands
207461,Toon van der Linde,Forward,20,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958,in,True,,Netherlands
207447,Wim Feldmann,Defender,26,Netherlands,SC Enschede,Ajax Amsterdam,-,?,1957/1958,in,False,Netherlands,Netherlands
207458,Jan Snoeks,Forward,25,Netherlands,Stormvogels,Ajax Amsterdam,-,?,1957/1958,in,False,Netherlands,Netherlands
153053,Bennie Muller,Defensive Midfield,18,Netherlands,Ajax U19,Ajax Amsterdam,-,-,1957/1958,in,False,Netherlands,Netherlands
207288,Klaas Bakker,Forward,31,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958,out,True,Netherlands,
207300,Albert Post,Midfielder,22,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958,out,True,Netherlands,
207295,Henk Elzer,Midfielder,24,Netherlands,Ajax Amsterdam,Willem II,-,?,1957/1958,out,False,Netherlands,Netherlands
207289,Luuk Bijker,Midfielder,25,Netherlands,Ajax Amsterdam,DWS,-,?,1957/1958,out,False,Netherlands,Netherlands
151956,Gé van Dijk,Forward,33,Netherlands,Ajax Amsterdam,Retired,-,-,1957/1958,out,True,Netherlands,
154374,Fons van Wissen,Right Midfield,25,Netherlands,MVV,PSV Eindhoven,-,?,1958/1959,in,False,Netherlands,Netherlands
390749,André Orval,Central Midfield,17,Netherlands,SV Blerick,PSV Eindhoven,-,?,1958/1959,in,False,Netherlands,Netherlands
289345,Fred Röhrig,Left Midfield,31,Netherlands,RW Essen,PSV Eindhoven,-,?,1958/1959,in,True,Germany,Netherlands
188710,Wim Wolbers,Left Winger,17,Netherlands,Unknown,PSV Eindhoven,-,?,1958/1959,in,True,,Netherlands
515879,Daniel Ekner,Forward,30,Sweden,RW Essen,PSV Eindhoven,-,?,1958/1959,in,True,Germany,Netherlands
382110,George Voorjans,Right-Back,20,Netherlands,PSV U19,PSV Eindhoven,-,-,1958/1959,in,False,Netherlands,Netherlands
240404,Bert de Jongh,Midfielder,28,Netherlands,PSV Eindhoven,'t Gooi,-,€8k,1958/1959,out,False,Netherlands,Netherlands
240399,Theo Buenen,Defender,29,Netherlands,PSV Eindhoven,'t Gooi,-,?,1958/1959,out,False,Netherlands,Netherlands
240405,Jacques de Wit,Centre-Forward,25,Netherlands,PSV Eindhoven,Unknown,-,?,1958/1959,out,True,Netherlands,
240403,Miel D'Hooghe,Midfielder,35,Netherlands,PSV Eindhoven,Retired,-,-,1958/1959,out,True,Netherlands,
686755,Bert Willems,Forward,19,Netherlands,Unknown,MVV Maastricht,-,?,1958/1959,in,True,,Netherlands
665399,Ladislav Butkovic,Forward,29,Serbia,F. Düsseldorf,MVV Maastricht,-,?,1958/1959,in,True,Germany,Netherlands
618176,Michel Thal,Centre-Back,17,Netherlands,Maastricht U19,MVV Maastricht,-,-,1958/1959,in,False,Netherlands,Netherlands
154374,Fons van Wissen,Right Midfield,25,Netherlands,MVV Maastricht,PSV Eindhoven,-,?,1958/1959,out,False,Netherlands,Netherlands
240513,Georg Hecht,Midfielder,33,Germany,MVV Maastricht,Retired,-,-,1958/1959,out,True,Netherlands,
207469,Jan Seelen,Centre-Forward,19,Netherlands,VVV,Ajax Amsterdam,-,€14k,1958/1959,in,False,Netherlands,Netherlands
187036,Bertus Hoogerman,Goalkeeper,20,Netherlands,Unknown,Ajax Amsterdam,-,?,1958/1959,in,True,,Netherlands
207472,Bobby Westra,Forward,17,Netherlands,Unknown,Ajax Amsterdam,-,?,1958/1959,in,True,,Netherlands
207480,Bozo Broketa,Defender,35,Jugoslawien (SFR),Limburgia,Ajax Amsterdam,-,?,1958/1959,in,False,Netherlands,Netherlands
187059,Ad Visser,Defender,22,Netherlands,DWS/A,Ajax Amsterdam,-,?,1958/1959,in,False,Netherlands,Netherlands
207481,Wim Kluft,Goalkeeper,24,Netherlands,Unknown,Ajax Amsterdam,-,?,1958/1959,in,True,,Netherlands
153802,Eddy Pieters Graafland,Goalkeeper,24,Netherlands,Ajax Amsterdam,Feijenoord,-,€61k,1958/1959,out,False,Netherlands,Netherlands
187059,Ad Visser,Defender,23,Netherlands,Ajax Amsterdam,DWS/A,-,?,1958/1959,out,False,Netherlands,Netherlands
153041,Rinus Michels,Forward,30,Netherlands,Ajax Amsterdam,Retired,-,-,1958/1959,out,True,Netherlands,
148725,Jan Klaassens,Left Midfield,27,Netherlands,VVV,RV & AV Feijenoord,-,€45k,1959/1960,in,False,Netherlands,Netherlands
151753,Rinus Bennaars,Right Winger,27,Netherlands,NOAD,RV & AV Feijenoord,-,?,1959/1960,in,False,Netherlands,Netherlands
152525,Reinier Kreijermaat,Midfielder,24,Netherlands,Elinkwijk,RV & AV Feijenoord,-,?,1959/1960,in,False,Netherlands,Netherlands
188761,Ab Fafié,Left-Back,18,Netherlands,Feyenoord U19,RV & AV Feijenoord,-,-,1959/1960,in,False,Netherlands,Netherlands
240472,Jan Brilleman,Left-Back,25,Netherlands,RV & AV Feijenoord,NOAD,-,€10k,1959/1960,out,False,Netherlands,Netherlands
154131,Piet Steenbergen,Midfielder,30,Netherlands,RV & AV Feijenoord,Retired,-,-,1959/1960,out,True,Netherlands,
152553,Piet van der Kuil,Right Winger,26,Netherlands,Ajax,PSV Eindhoven,-,€59k,1959/1960,in,False,Netherlands,Netherlands
305630,Anders Svensson,Midfielder,20,Sweden,Malmö FF,PSV Eindhoven,-,?,1959/1960,in,True,Sweden,Netherlands
346529,Wim van Kessel,Left-Back,22,Netherlands,Budel,PSV Eindhoven,-,?,1959/1960,in,False,Netherlands,Netherlands
154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,Retired,PSV Eindhoven,-,-,1959/1960,in,True,,Netherlands
346534,Hans Verhagen,Forward,22,Netherlands,PSV Eindhoven,Leeuwarden,-,?,1959/1960,out,False,Netherlands,Netherlands
390749,André Orval,Central Midfield,18,Netherlands,PSV Eindhoven,VVV,-,?,1959/1960,out,False,Netherlands,Netherlands
323756,Joop Oomens,Right Winger,18,Netherlands,PSV Eindhoven,Eindhoven,-,?,1959/1960,out,False,Netherlands,Netherlands
154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,PSV Eindhoven,Retired,-,-,1959/1960,out,True,Netherlands,
244081,Piet Timmermans,Left Midfield,20,Netherlands,SV TOP,Willem II Tilburg,-,€1k,1959/1960,in,False,Netherlands,Netherlands
